URL,Tactic,Technique_ID,Technique,Procedure_ID,Procedure_Name,Description
https://attack.mitre.org//techniques/T0800,['Inhibit Response Function'],T0800,Activate Firmware Update Mode,,,
,,,,S0604,Industroyer,"The Industroyer SIPROTEC DoS module places the victim device into firmware update mode. This is a legitimate use case under normal circumstances, but in this case is used the adversary to prevent the SIPROTEC from performing its designed protective functions. As a result the normal safeguards are disabled, leaving an unprotected link in the electric transmission. [1]"
https://attack.mitre.org//techniques/T0830,['Collection'],T0830,Adversary-in-the-Middle,,,
,,,,S1010,VPNFilter,The VPNFilter's ssler module configures the device's iptables to redirect all traffic destined for port 80 to its local service listening on port 8888. Any outgoing web requests on port 80 are now intercepted by ssler and can be inspected by the ps module and manipulated before being sent to the legitimate HTTP service. [3] [4]
https://attack.mitre.org//techniques/T0878,['Inhibit Response Function'],T0878,Alarm Suppression,,,
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary suppressed alarm reporting to the central computer.[2]"
https://attack.mitre.org//techniques/T0802,['Collection'],T0802,Automated Collection,,,
,,,,S0093,Backdoor.Oldrea,"Using OPC, a component of Backdoor.Oldrea gathers any details about connected devices and sends them back to the C2 for the attackers to analyze. [1]"
,,,,S0604,Industroyer,Industroyer automatically collects protocol object data to learn about control devices in the environment. [2]
,,,,S1072,Industroyer2,Industroyer2 leverages a hardcoded list of remote-station IP addresses to iteratively initiate communications and collect information across multiple priority IEC-104 priority levels.[3]
https://attack.mitre.org//techniques/T0803,['Inhibit Response Function'],T0803,Block Command Message,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team blocked command messages by using malicious firmware to render serial-to-ethernet converters inoperable. [3]"
,,,,S0604,Industroyer,"In Industroyer the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device. [4]"
https://attack.mitre.org//techniques/T0804,['Inhibit Response Function'],T0804,Block Reporting Message,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team blocked reporting messages by using malicious firmware to render serial-to-ethernet converters inoperable. [3]"
,,,,S0604,Industroyer,Industroyer uses the first COM port from the configuration file for the communication and the other two COM ports are opened to prevent other processes accessing them. This may block processes or operators from getting reporting messages from a device. [4]
https://attack.mitre.org//techniques/T0805,['Inhibit Response Function'],T0805,Block Serial COM,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team overwrote the serial-to-ethernet converter firmware, rendering the devices not operational. This meant that communication to the downstream serial devices was either not possible or more difficult. [1]"
,,,,S0604,Industroyer,"In Industroyer the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device. [2]"
https://attack.mitre.org//techniques/T0806,['Impair Process Control'],T0806,Brute Force I/O,,,
,,,,S0604,Industroyer,"The Industroyer IEC 104 module has 3 modes available to perform its attack. These modes are range, shift, and sequence. The range mode operates in 2 stages. The first stage of range mode gathers Information Object Addresses (IOA) and sends select and execute packets to switch the state. The second stage of range mode has an infinite loop where it will switch the state of all of the previously discovered IOAs. Shift mode is similar to range mode, but instead of staying within the same range, it will add a shift value to the default range values. [1]"
,,,,S1072,Industroyer2,Industroyer2 can iterate across a device’s IOAs to modify the ON/OFF value of a given IO state.[2][3]
https://attack.mitre.org//techniques/T0892,['Inhibit Response Function'],T0892,Change Credential,,,
https://attack.mitre.org//techniques/T0858,"['Execution', 'Evasion']",T0858,Change Operating Mode,,,
,,,,S1045,INCONTROLLER,INCONTROLLER can establish a remote HTTP connection to change the operating mode of Omron PLCs.[5][6]
,,,,S1006,PLC-Blaster,PLC-Blaster stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again. [7]
,,,,S1009,Triton,Triton has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. [8]
https://attack.mitre.org//techniques/T0807,['Execution'],T0807,Command-Line Interface,,,
,,,,C0025,2016 Ukraine Electric Power Attack,"During the 2016 Ukraine Electric Power Attack, Sandworm Team supplied the name of the payload DLL to Industroyer via a command line parameter.[2]"
,,,,S0604,Industroyer,The name of the Industroyer payload DLL is supplied by the attackers via a command line parameter supplied in one of the main backdoors execute a shell command commands. [3]
,,,,G0034,Sandworm Team,"Sandworm Team uses the MS-SQL server xp_cmdshell command, and PowerShell to execute commands. [4]"
,,,,S0603,Stuxnet,Stuxnet will store and execute SQL code that will extract and execute Stuxnet from the saved CAB file using xp_cmdshell with the following command: set @s = master..xp _ cmdshell extrac32 /y +@t+ +@t+x; exec(@s); [5]
https://attack.mitre.org//techniques/T0885,['Command and Control'],T0885,Commonly Used Port,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team used port 443 to communicate with their C2 servers. [1]"
