Description,URL,Tactic1,Tactic2
"The Industroyer SIPROTEC DoS module places the victim device into firmware update mode. This is a legitimate use case under normal circumstances, but in this case is used the adversary to prevent the SIPROTEC from performing its designed protective functions. As a result the normal safeguards are disabled, leaving an unprotected link in the electric transmission. ",https://attack.mitre.org//techniques/T0800,INHIBIT_RESPONSE_FUNCTION,
The VPNFilter's ssler module configures the device's iptables to redirect all traffic destined for port 80 to its local service listening on port 8888. Any outgoing web requests on port 80 are now intercepted by ssler and can be inspected by the ps module and manipulated before being sent to the legitimate HTTP service.  ,https://attack.mitre.org//techniques/T0830,COLLECTION,
"In the Maroochy Water Breach, the adversary suppressed alarm reporting to the central computer.",https://attack.mitre.org//techniques/T0878,INHIBIT_RESPONSE_FUNCTION,
"Using OPC, a component of Backdoor.Oldrea gathers any details about connected devices and sends them back to the C2 for the attackers to analyze. ",https://attack.mitre.org//techniques/T0802,COLLECTION,
Industroyer automatically collects protocol object data to learn about control devices in the environment. ,https://attack.mitre.org//techniques/T0802,COLLECTION,
Industroyer2 leverages a hardcoded list of remote-station IP addresses to iteratively initiate communications and collect information across multiple priority IEC-104 priority levels.,https://attack.mitre.org//techniques/T0802,COLLECTION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team blocked command messages by using malicious firmware to render serial-to-ethernet converters inoperable. ",https://attack.mitre.org//techniques/T0803,INHIBIT_RESPONSE_FUNCTION,
"In Industroyer the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device. ",https://attack.mitre.org//techniques/T0803,INHIBIT_RESPONSE_FUNCTION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team blocked reporting messages by using malicious firmware to render serial-to-ethernet converters inoperable. ",https://attack.mitre.org//techniques/T0804,INHIBIT_RESPONSE_FUNCTION,
Industroyer uses the first COM port from the configuration file for the communication and the other two COM ports are opened to prevent other processes accessing them. This may block processes or operators from getting reporting messages from a device. ,https://attack.mitre.org//techniques/T0804,INHIBIT_RESPONSE_FUNCTION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team overwrote the serial-to-ethernet converter firmware, rendering the devices not operational. This meant that communication to the downstream serial devices was either not possible or more difficult. ",https://attack.mitre.org//techniques/T0805,INHIBIT_RESPONSE_FUNCTION,
"In Industroyer the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device. ",https://attack.mitre.org//techniques/T0805,INHIBIT_RESPONSE_FUNCTION,
"The Industroyer IEC 104 module has 3 modes available to perform its attack. These modes are range, shift, and sequence. The range mode operates in 2 stages. The first stage of range mode gathers Information Object Addresses (IOA) and sends select and execute packets to switch the state. The second stage of range mode has an infinite loop where it will switch the state of all of the previously discovered IOAs. Shift mode is similar to range mode, but instead of staying within the same range, it will add a shift value to the default range values. ",https://attack.mitre.org//techniques/T0806,IMPAIR_PROCESS_CONTROL,
Industroyer2 can iterate across a device’s IOAs to modify the ON/OFF value of a given IO state.,https://attack.mitre.org//techniques/T0806,IMPAIR_PROCESS_CONTROL,
INCONTROLLER can establish a remote HTTP connection to change the operating mode of Omron PLCs.,https://attack.mitre.org//techniques/T0858,EXECUTION,EVASION
PLC-Blaster stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again. ,https://attack.mitre.org//techniques/T0858,EXECUTION,EVASION
Triton has the ability to halt or run a program through the TriStation protocol. TsHi.py contains instances of halt and run functions being executed. ,https://attack.mitre.org//techniques/T0858,EXECUTION,EVASION
"During the 2016 Ukraine Electric Power Attack, Sandworm Team supplied the name of the payload DLL to Industroyer via a command line parameter.",https://attack.mitre.org//techniques/T0807,EXECUTION,
The name of the Industroyer payload DLL is supplied by the attackers via a command line parameter supplied in one of the main backdoors execute a shell command commands. ,https://attack.mitre.org//techniques/T0807,EXECUTION,
"Sandworm Team uses the MS-SQL server xp_cmdshell command, and PowerShell to execute commands. ",https://attack.mitre.org//techniques/T0807,EXECUTION,
Stuxnet will store and execute SQL code that will extract and execute Stuxnet from the saved CAB file using xp_cmdshell with the following command: set @s = master..xp _ cmdshell extrac32 /y +@t+ +@t+x; exec(@s); ,https://attack.mitre.org//techniques/T0807,EXECUTION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team used port 443 to communicate with their C2 servers. ",https://attack.mitre.org//techniques/T0885,COMMAND_AND_CONTROL,
Stuxnet attempts to contact command and control servers on port 80 to send basic information about the computer it has compromised. ,https://attack.mitre.org//techniques/T0885,COMMAND_AND_CONTROL,
